url,title,price_czk,source,discount_pct,scraped_at
https://mobil.bazos.cz/inzerat/222947161/garmin-fenix-8-solar-sapphire-47mm.php,Garmin Fénix 8 Solar Sapphire 47mm: 17 000,17000,bazos,34.6,2026-08-25T06:50:44.426163+00:00
https://mobil.bazos.cz/inzerat/223019855/garmin-fenix-8-amoled-sapphire-titanium-51mm.php,Garmin Fenix 8 Amoled Sapphire Titanium 51mm: 16 500,16500,bazos,36.5,2026-08-26T06:52:02.722776+00:00
https://mobil.bazos.cz/inzerat/223012022/garmin-fenix-8-solar.php,Garmin Fenix 8 Solar: 17 000,17000,bazos,34.6,2026-08-26T06:52:02.722793+00:00
https://mobil.bazos.cz/inzerat/223011317/fenix-8-51mm-amoled-sapphire.php,Fenix 8 51mm amoled sapphire: 15 500,15500,bazos,40.4,2026-08-26T06:52:02.722800+00:00
https://mobil.bazos.cz/inzerat/222997282/garmin-fenix-8-amoled-51mm-titan-safir.php,Garmin Fenix 8 AMOLED 51mm - Titan + Safír: 20 000,20000,bazos,23.0,2026-08-26T06:52:02.722805+00:00
https://mobil.bazos.cz/inzerat/223085712/garmin-fenix-8-47-mm-amoled-sapphire-carbon-gray-dlc-titan.php,Garmin Fenix 8 47 mm AMOLED Sapphire – Carbon Gray DLC Titan: 18 500,18500,bazos,28.8,2026-08-27T17:25:17.133733+00:00
https://sport.bazos.cz/inzerat/223084215/garmin-fenix-8-amoled-sapphire-51-mm.php,Garmin Fenix 8 Amoled Sapphire 51 mm: 15 000,15000,bazos,42.3,2026-08-27T17:25:17.133753+00:00
https://mobil.bazos.cz/inzerat/223083914/garmin-fenix-8-47mm-amoled-slate-gray-steelblack-band.php,Garmin Fenix 8 47mm AMOLED Slate Gray Steel/Black Band: 16 599,16599,bazos,36.1,2026-08-27T17:25:17.133759+00:00
https://mobil.bazos.cz/inzerat/223082163/garmin-fenix-8-51-mm-amoled-black.php,Garmin Fenix 8 51 mm AMOLED Black: 16 000,16000,bazos,38.4,2026-08-27T17:25:17.133764+00:00
https://mobil.bazos.cz/inzerat/223073548/garmin-fenix-8-47mm-amoled-zaruka.php,Garmin Fenix 8 47mm AMOLED - Záruka: 13 000,13000,bazos,50.0,2026-08-27T17:25:17.133769+00:00
https://mobil.bazos.cz/inzerat/223070006/garmin-fenix-8-51-mm-amoled-sapphire-titanium-zaruka.php,Garmin Fenix 8 51 mm AMOLED Sapphire Titanium – záruka: 15 500,15500,bazos,40.4,2026-08-27T17:25:17.133775+00:00
https://elektro.bazos.cz/inzerat/223064969/hodinky-garmin-fenix-8-pro-51-mm-amoled.php,Hodinky Garmin Fénix 8 PRO 51 mm Amoled: 20 000,20000,bazos,23.0,2026-08-27T17:25:17.133779+00:00
https://mobil.bazos.cz/inzerat/223064823/garmin-fenix-8-amoled-51mm-topo-czech-v-zaruce.php,"Garmin Fenix 8 AMOLED 51mm – TOPO Czech, v záruce: 13 000",13000,bazos,50.0,2026-08-27T17:25:17.133784+00:00
https://mobil.bazos.cz/inzerat/223050465/garmin-fenix-8-pro-51-mm.php,Garmin fenix 8 pro 51 mm: 18 000,18000,bazos,30.7,2026-08-27T17:25:17.133788+00:00
https://mobil.bazos.cz/inzerat/223049832/garmin-fenix-8-pro-47mm.php,Rezervováno - Garmin Fenix 8 Pro 47MM: 16 500,16500,bazos,36.5,2026-08-27T17:25:17.133792+00:00
https://mobil.bazos.cz/inzerat/223049713/garmin-fenix-8-pro-koupim.php,Garmin Fenix 8 pro KOUPÍM: 15 000,15000,bazos,42.3,2026-08-27T17:25:17.133796+00:00
https://sport.bazos.cz/inzerat/223049313/garmin-fenix-8-47mm-amoled-sapphire-carbon-gray-dlc-titanium.php,GARMIN FENIX 8 47mm AMOLED Sapphire Carbon Gray DLC Titanium: 17 490,17490,bazos,32.7,2026-08-27T17:25:17.133801+00:00
https://mobil.bazos.cz/inzerat/223049137/garmin-forerunner-970.php,Garmin Forerunner 970: 12 490,12490,bazos,51.9,2026-08-27T17:25:17.133805+00:00
https://ostatni.bazos.cz/inzerat/223048318/garmin-fenix-8-51mm-carbon.php,Garmin Fenix 8 51mm Carbon: 19 000,19000,bazos,26.9,2026-08-27T17:25:17.133809+00:00
https://obleceni.bazos.cz/inzerat/223046660/garmin-fenix-8-51mn.php,GARMIN Fenix 8 51mn: 19 500,19500,bazos,25.0,2026-08-27T17:25:17.133813+00:00
https://ostatni.bazos.cz/inzerat/223046315/koupim-garmin-fenix-8-amoled-sapphire.php,"Koupím  Garmin Fenix 8 nebo 8X,  Sapphire, Titan: 13 000",13000,bazos,50.0,2026-08-27T17:25:17.133817+00:00
https://obleceni.bazos.cz/inzerat/223045298/kovovy-reminek-garmin-quickfit-26-mm-prodam-kovovy-reminek.php,Kovový řemínek Garmin QuickFit 26 mm  Prodám kovový řemínek: 500,500,bazos,98.1,2026-08-27T17:25:17.133821+00:00
